profile_id,report_date,fans_lifetime,fans_change,insights_post_clicks,insights_reactions,insights_fan_adds,insights_fan_adds_unique,insights_fan_removes,insights_activity,insights_engaged_users,insights_fan_removes_unique,insights_positive_feedback,insights_negative_feedback,insights_fans_lifetime,insights_fans_online,insights_reach,insights_reach_7_days,insights_reach_28_days,insights_video_complete_views_30s_repeat_views,insights_impressions,insights_post_reach,insights_post_impressions,insights_video_complete_views_30s,insights_reach_engagement,insights_post_clicks_unique,insights_activity_unique,insights_video_repeat_views,insights_video_views_unique,insights_views,insights_video_complete_views_30s_unique,insights_video_views,engagement_rate,insights_engagements,insights_impressions_engagement_rate,insights_reach_per_content,interactions,interactions_per_1k_fans,likes,number_of_comments,page_posts,page_shares,sentiment_manual_auto,shares,user_posts,user_posts_average_response_time,user_posts_responded,user_posts_response_rate,user_questions,user_questions_average_response_time,user_questions_responded,user_questions_response_rate,date_from,date_to,profile_url,insights_enabled
7.76216E+11,3/20/2024,0,-87,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,119,125,11,,,,9,25,126,13,47,0.072806,,0.050139,,51970,2.004685,6370,7044,24,,0,827,50,,,1,,,,1,1/13/2025,3/25/2025,https://facebook.com/q4f121fq7k,0
4.4449E+11,12/28/2024,0,553,,1,0,0,1,,,1,,,190665,,123,903,5629,2,138,87,169,15,,,,13,25,170,13,35,0.061732,,0.018192,,54373,3.781249,44567,1769,34,,0,844,40,,,1,,,,0,12/17/2024,12/25/2024,https://facebook.com/4umeurkl9wz,1
8.60012E+11,10/20/2023,7898436,-278,,1,0,0,1,,,1,,,200259,,91,903,7615,2,138,119,169,11,,,,13,35,126,13,35,0.006129,,0.030046,,60958,4.269847,5210,3350,40,,0,128,41,,,1,,,,0,11/16/2024,12/16/2024,https://facebook.com/8l88hl0s,1
7.00394E+11,5/28/2024,2944571,860,,1,0,0,1,,,1,,,200259,,123,1223,5629,2,138,119,125,15,,,,13,35,170,9,35,0.050605,,0.025437,,89602,8.87171,30900,2294,44,,0,837,13,,,0,,,,1,8/30/2024,10/16/2024,https://facebook.com/owxqucny1ry,0
1.03236E+11,12/5/2024,1845056,-278,,1,0,0,1,,,1,,,200259,,91,1006,5629,2,138,87,169,11,,,,13,35,143,13,35,0.031132,,0.052547,,53871,4.955018,37996,569,18,,0,508,28,,,0,,,,1,3/19/2025,5/29/2025,https://facebook.com/wxtf658ac,0
9.75866E+11,2/25/2025,7898436,632,,1,0,0,1,,,1,,,182819,,123,1223,7615,2,138,119,169,11,,,,13,25,126,13,47,0.027409,,0.027101,,38195,6.62921,0,0,30,,0,285,23,,,1,,,,1,2/17/2025,5/18/2025,https://facebook.com/8ml5b0ujym3,1
7.63528E+11,2/13/2024,7898436,15,,1,0,0,1,,,1,,,200259,,91,1223,7615,2,138,87,125,11,,,,13,25,147,11,47,0.020688,,0.06172,,15285,6.686343,37472,2975,31,,0,312,60,,,0,,,,1,4/29/2024,3/4/2025,https://facebook.com/a81ow4rz3zrii,1
7.88204E+11,9/15/2024,4283937,193,,1,0,0,1,,,1,,,148017,,123,903,5629,2,159,119,125,15,,,,13,35,126,9,47,0.015272,,0.055902,,38910,4.239364,71322,97,23,,0,203,31,,,1,,,,1,5/30/2024,7/3/2024,https://facebook.com/qqnvlr1n,0
1.36832E+11,1/11/2024,3283899,-148,,1,0,0,1,,,1,,,200259,,109,903,5629,2,188,119,125,11,,,,9,25,170,9,47,0.012016,,0.020166,,64630,13.546083,21012,1919,27,,0,354,25,,,1,,,,1,4/22/2024,10/15/2024,https://facebook.com/ko4cgja6,0
4.55882E+11,12/2/2023,3791394,264,,1,0,0,1,,,1,,,148017,,123,1223,7615,2,188,119,134,11,,,,9,25,126,13,35,0.010576,,0.026582,,0,2.045092,28615,1449,57,,0,506,50,,,0,,,,0,11/26/2024,1/31/2025,https://facebook.com/wp4u5z3u,1
